Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,5/2/2010,1643690.9,0,42.31,2.572,211.096358,8.106
1,12/2/2010,1641957.44,1,38.51,2.548,211.242169,8.106
1,19-02-2010,1611968.17,0,39.93,2.514,211.289429,8.106
1,26-02-2010,1409727.59,0,46.63,2.561,211.319643,8.106
1,5/3/2010,1554806.68,0,46.5,2.625,211.350429,8.106
1,12/3/2010,1439541.59,0,57.79,2.667,211.380042,8.106
1,19-03-2010,1472515.79,0,54.58,2.72,211.215635,8.106
1,26-03-2010,1404429.92,0,51.45,2.732,211.018042,8.106
1,2/4/2010,1594968.28,0,62.27,2.719,210.820449,7.808
1,9/4/2010,1544815.53,0,65.86,2.77,210.622857,7.808
1,16-04-2010,1466058.28,0,66.32,2.808,210.4887,7.808
1,23-04-2010,1391256.12,0,64.84,2.795,210.439128,7.808
1,30-04-2010,1425107.71,0,67.41,2.78,210.395445,7.808
1,7/5/2010,1603955.12,0,72.55,2.835,210.339968,7.808
1,14-05-2010,1494251.5,0,74.78,2.854,210.337426,7.808
1,21-05-2010,1399662.07,0,76.44,2.826,210.617093,7.808
1,28-05-2010,1432069.95,0,80.44,2.759,210.89676,7.808
1,4/6/2010,1615524.71,0,80.69,2.705,211.176478,7.808
1,11/6/2010,1542561.09,0,80.43,2.668,211.456071,7.808
1,18-06-2010,1503284.06,0,84.11,2.637,211.453779,7.808
1,25-06-2010,1422711.6,0,84.34,2.653,211.338652,7.808
1,2/7/2010,1492418.14,0,80.91,2.669,211.223533,7.787
1,9/7/2010,1546704.18,0,80.48,2.642,211.108014,7.787
1,16-07-2010,1448938.92,0,83.15,2.623,211.100385,7.787
1,23-07-2010,1385065.2,0,83.36,2.608,211.235143,7.787
,,,,,,,
,,,,,,,
,Date,Weekly_Sales,,,,,
,5/2/2010,1643690.9,,,,,
,12/2/2010,1641957.44,,,,,
,19-02-2010,1611968.17,,,,,
,26-02-2010,1409727.59,,,,,
,5/3/2010,1554806.68,,,,,
,12/3/2010,1439541.59,,,,,
,19-03-2010,1472515.79,,,,,
,26-03-2010,1404429.92,,,,,
,2/4/2010,1594968.28,,,,,
,9/4/2010,1544815.53,,,,,
,16-04-2010,1466058.28,,,,,
,23-04-2010,1391256.12,,TOTAL SALES ,37487990.54,,
,30-04-2010,1425107.71,,AVG SALES,1499519.622,,
,7/5/2010,1603955.12,,MAX SALES,1643690.9,,
,14-05-2010,1494251.5,,,,,
,21-05-2010,1399662.07,,,,,
,28-05-2010,1432069.95,,,,,
,4/6/2010,1615524.71,,,,,
,11/6/2010,1542561.09,,,,,
,18-06-2010,1503284.06,,,,,
,25-06-2010,1422711.6,,,,,
,2/7/2010,1492418.14,,,,,
,9/7/2010,1546704.18,,,,,
,16-07-2010,1448938.92,,,,,
,23-07-2010,1385065.2,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Date,Temperature,Fuel_Price,,,,
,5/2/2010,42.31,2.572,,,,
,12/2/2010,38.51,2.548,,,,
,19-02-2010,39.93,2.514,,,,
,26-02-2010,46.63,2.561,,,,
,5/3/2010,46.5,2.625,,,,
,12/3/2010,57.79,2.667,,,,
,19-03-2010,54.58,2.72,,,,
,26-03-2010,51.45,2.732,,,,
,2/4/2010,62.27,2.719,,,,
,9/4/2010,65.86,2.77,,,,
,16-04-2010,66.32,2.808,,,,
,23-04-2010,64.84,2.795,,,,
,30-04-2010,67.41,2.78,,,,
,7/5/2010,72.55,2.835,,,,
,14-05-2010,74.78,2.854,,,,
,21-05-2010,76.44,2.826,,,total =SUM(C60:C84),SUM(D60:D84)
,28-05-2010,80.44,2.759,,,AVG=AVERAGE(C60:C84),AVERAGE(D60:D84)
,4/6/2010,80.69,2.705,,,MAX =MAX(C60:C84),MAX(D60:D84)
,11/6/2010,80.43,2.668,,,MIN =MIN(C60:C84),MIN(D60:D84)
,18-06-2010,84.11,2.637,,,,
,25-06-2010,84.34,2.653,,,,
,2/7/2010,80.91,2.669,,,,
,9/7/2010,80.48,2.642,,,,
,16-07-2010,83.15,2.623,,,,
,23-07-2010,83.36,2.608,,,,
,TOTAL,1666.08,67.29,,,,
,AVERAGE,66.6432,2.6916,,,,
,MAX VALUE,84.34,2.854,,,,
,MIN VALUE,38.51,2.514,,,,
,,,,,,,
,,,,,,,
,Weekly_Sales,Temperature,,,,,
,1643690.9,42.31,,,,,
,1641957.44,38.51,,,,,
,1611968.17,39.93,,,,,
,1409727.59,46.63,,,,,
,1554806.68,46.5,,,,,
,1439541.59,57.79,,,,,
,1472515.79,54.58,,,,,
,1404429.92,51.45,,,,,
,1594968.28,62.27,,,,,
,1544815.53,65.86,,,,,
,1466058.28,66.32,,,,,
,1391256.12,64.84,,,,,
,1425107.71,67.41,,,,,
,1603955.12,72.55,,,,,
,1494251.5,74.78,,,,,
,1399662.07,76.44,,,,,
,1432069.95,80.44,,,,,
,1615524.71,80.69,,,,,
,1542561.09,80.43,,,,,
,1503284.06,84.11,,,,,
